,A,B,Category
0,1.3915208711944607,5.50065707131125,0
1,2.2911863604185854,1.8142869469248013,1
2,1.1312175042434114,4.681949847050563,0
3,1.6325296370668831,4.896019011077194,0
4,2.442848794120673,5.156339266909622,0
5,2.7437891771241882,0.9275922314982101,1
6,-2.138686826356091,1.1883327468230234,2
7,-1.6715858236517658,4.68205661654351,2
8,-1.2653843384075498,4.396300373470675,2
9,-1.191785197213433,2.916487970381754,2
10,-2.762390719510944,3.3572283632762794,2
11,2.2592512893756522,4.350139598586961,0
12,-1.7686115293797153,3.384206610228106,2
13,5.011666288129881,-0.6870953793136061,1
14,-0.4668835330207226,3.9106817846521214,0
15,-2.6865861230438024,3.274718510504993,2
16,2.3850556027884173,-0.03406173781822852,1
17,1.1570244649653671,1.9704978332622356,1
18,2.8372527986790996,1.0292424537594775,1
19,2.303245422695393,0.5966818516928835,1
20,-0.8736350375443912,2.5415647779129227,2
21,-2.5289703521051052,4.683245580091129,2
22,0.39944049573454765,0.8041090736282163,1
23,1.3653640474122155,5.474828392068878,0
24,-2.0345783945992086,2.9507028184840833,2
25,-3.170466276244615,4.492343908752074,2
26,-0.7475678083191994,3.4275700861689726,2
27,1.908154445495918,0.5298044376398345,1
28,-2.338088580350945,3.6011997886067437,2
29,0.9714284172114475,6.051455557946088,0
30,-1.301973381062382,3.19881077074686,2
31,0.5358879555613592,1.92106994566241,1
32,4.113018352675317,2.722126681848506,1
33,-1.4006879478903078,2.3379178893001047,2
34,2.1408225988114684,0.12878923367769524,1
35,-3.1012148534389077,3.118720669356014,2
36,-0.3379352222560663,3.8731093479652756,2
37,-2.4713445225225894,5.166155855104692,2
38,-2.05004634376032,1.681067753124002,2
39,-1.2036129270517761,4.269494654954261,2
40,0.7748673303763061,-0.6799874082781527,1
41,-2.8804194593920576,1.8479328818910958,2
42,-0.6194609752926242,2.9949271394405974,2
43,1.5881972712776529,2.962290601865347,0
44,-2.491790646031198,3.2781585037849847,2
45,-1.1091421623522502,1.8640556543657412,2
46,3.026244749074302,-1.8268851039697442,1
47,0.6880835469246027,5.56198426444237,0
48,-0.3570722003442064,4.671571338368687,0
49,2.7131996844242323,3.8859528913538384,0
50,2.992586887299355,0.33181594772370027,1
51,1.0525331886222513,4.042297008210339,0
52,-0.05514279262168653,2.9220673817479286,0
53,1.1730401686338507,5.273411056672437,0
54,0.6844327157986323,3.5422951156367666,0
55,0.23685337828324127,1.7194662213854732,0
56,0.04348103704005679,5.547106711903545,0
57,1.3455775279225748,0.7456609999937804,1
58,1.9450144716576405,3.57343023189043,0
59,1.877092842755525,2.7978759758770027,0
60,-0.9971145049414768,2.4136236904270607,2
61,0.08762479545485835,4.1679774848047035,0
62,2.0324983487703516,2.5615704883854677,1
63,2.200068414772762,3.452559004107653,0
64,0.5949802087382,3.0548383943755155,0
65,-0.3989144007707457,4.8047795596283365,0
66,1.921808867993601,4.102402784165646,0
67,1.5728804094498767,0.6146131423676588,1
68,2.7536238540675093,4.411833900920261,0
69,0.01020689350242554,6.463800435819126,0
70,0.5624425384831824,0.6594338194878773,1
71,-3.629609775860661,1.3018575804185373,2
72,0.5836167195425404,0.13619894635568275,1
73,0.3183439860096998,5.272669966011441,0
74,1.1358126103551163,1.052928574477445,1
75,3.1041957824077624,0.18323396476588738,1
76,-0.9991043404278984,1.4520215707346507,2
77,-1.3750410790452712,4.920960129552663,0
78,-0.8680981794853939,2.958392275105284,2
79,1.8596220556735772,0.5396622959553322,1
80,1.6452717115239432,1.1587777950678435,1
81,2.584792234495219,3.7422085778451692,0
82,2.8130013130898472,1.6762536473419782,1
83,-1.3702308568953119,2.053883919656074,2
84,1.0849182822413483,4.347916426244665,0
85,0.5010949727172466,5.5767410763683,0
86,-1.961098481968669,2.5209594630847754,2
87,2.1176316199114273,0.9385015919719151,1
88,3.0621414068443276,0.45639984178006127,1
89,-3.3845045441251322,1.3627419694249447,2
90,-0.7280388996929401,1.1826426688467022,2
91,2.399670519788006,1.8713448147725624,1
92,1.9981178905635417,0.8347851764842639,1
93,-1.642866516769534,3.8336037166815022,2
94,-3.302826149911402,1.8675227403735295,2
95,4.461854110474139,1.212866073858428,1
96,1.0518385581915894,2.286947445296781,1
97,0.9783451004658614,5.330587906299358,0
98,-1.2212233437839064,3.137814215298727,2
99,1.9968337480549585,0.7837775667593319,1
100,1.9476329626512026,5.469721472712369,0
101,-2.977611547866468,3.3242005520118583,2
102,2.406907871733424,1.6719223383464856,1
103,2.59766531675799,1.5696475901680524,1
104,-1.7149204851904767,2.9899010294428465,2
105,-2.2471667039022827,2.990764417163544,2
106,-2.5313524802667438,3.3819174305425346,2
107,3.4521854277152553,0.6104000484169365,1
108,-1.0613678742737345,4.29492716054218,2
109,0.6424791181929309,4.2836582235708525,0
110,0.8011347948983265,-0.5926273550571333,1
111,1.2540019910565743,2.040241589697837,1
112,3.306142516043128,0.03243893766450956,1
113,2.549143366731321,1.1141814950631546,1
114,2.2542631320116495,0.1962784673936181,1
115,-1.9350935234536952,2.630895641839559,2
116,0.1289455083023916,4.313291997801347,2
117,-0.41978743790361017,3.4720448588986357,2
118,-3.1149783774591984,3.72990893168661,2
119,1.2075307849438752,2.890093930911661,0
120,-0.8529697689911592,3.1980934816915787,2
121,-0.9566998942631905,2.8018831756888676,2
122,-2.108143624310336,2.308225777310731,2
123,-0.30286522731875687,3.2609935816001565,0
124,1.5500262769235453,3.3269126864563106,0
125,2.133051080020741,3.7916059160039888,0
126,0.12899448051296702,4.643277467974671,0
127,1.9510742189505175,-0.33042741466386194,1
128,1.8277256863087779,0.5056653368725469,1
129,0.3914304398572841,1.0878520006278405,1
130,2.179552188025845,3.5579249987528536,0
131,1.167720950570407,5.184298526625501,0
132,-1.91965892976063,3.5306639378785754,2
133,1.2281736742506681,5.3138383816335395,0
134,-0.7539602059557581,4.432129551240549,2
135,-1.2210324252615241,2.90501186846673,2
136,1.596430274418996,0.06958865809798198,1
137,0.9120037639756027,0.15400363102644254,1
138,0.700599543985938,3.5940593616015017,0
139,0.5029091530440163,4.100216655974913,0
140,1.5979377529953198,1.820847153389542,1
141,-1.698020535881689,3.642160416922194,2
142,-2.0634181998886607,2.7369554939878777,2
143,-2.3526132878992048,3.1116422204688847,2
144,0.6203185854996887,6.8440189482075615,0
145,-0.8208945368491234,3.501534155717579,0
146,1.5430867595025684,1.1763468915316377,1
147,-1.1409906536987562,5.06462614919987,2
148,-0.5126236961242217,2.3413146292736524,2
149,1.3132279397922395,0.8530062896251787,1
150,0.8656795757382878,3.8713553488699453,0
151,1.997494821713658,5.012482600558816,0
152,-1.0692467817416047,2.3242209924703676,2
153,0.8163302907894523,3.471829834231265,0
154,0.7693664023825233,5.183966239529172,0
155,2.197855963204617,1.7854663152047312,1
156,-1.3557480318683888,1.7501799529850943,2
157,3.9857657393669057,0.6350189398499887,1
158,0.9228711202019,4.525666900457154,0
159,0.635999844244842,5.289975061652506,2
160,0.25698872259560224,0.19950483851451783,1
161,1.7723012158644624,1.5864365499444981,1
162,-0.23980650219936583,4.444459230756351,0
